[sub] Square/ShapeType[tagged] domain=7 (multicast 239.255.0.1). Ctrl-C to stop.
[sub] Square GREEN x=174 y=62 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=246
[sub] Square GREEN x=171 y=64 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=247
[sub] Square GREEN x=168 y=66 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=248
[sub] Square GREEN x=165 y=68 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=249
[sub] Square GREEN x=162 y=70 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=250
[sub] Square GREEN x=159 y=72 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=251
[sub] Square GREEN x=156 y=74 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=252
[sub] Square GREEN x=153 y=76 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=253
[sub] Square GREEN x=150 y=78 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=254
[sub] Square GREEN x=147 y=80 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=255
[sub] Square GREEN x=144 y=82 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=256
[sub] Square GREEN x=141 y=84 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=257
[sub] Square GREEN x=138 y=86 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=258
[sub] Square GREEN x=135 y=88 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=259
[sub] Square GREEN x=132 y=90 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=260
[sub] Square GREEN x=129 y=92 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=261
[sub] Square GREEN x=126 y=94 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=262
[sub] Square GREEN x=123 y=96 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=263
[sub] Square GREEN x=120 y=98 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=264
[sub] Square GREEN x=117 y=100 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=265
[sub] Square GREEN x=114 y=102 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=266
[sub] Square GREEN x=111 y=104 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=267
[sub] Square GREEN x=108 y=106 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=268
[sub] Square GREEN x=105 y=108 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=269
[sub] Square GREEN x=102 y=110 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=270
[sub] Square GREEN x=99 y=112 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=271
[sub] Square GREEN x=96 y=114 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=272
[sub] Square GREEN x=93 y=116 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=273
[sub] Square GREEN x=90 y=118 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=274
[sub] Square GREEN x=87 y=120 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=275
[sub] Square GREEN x=84 y=122 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=276
[sub] Square GREEN x=81 y=124 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=277
[sub] Square GREEN x=78 y=126 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=278
[sub] Square GREEN x=75 y=128 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=279
[sub] Square GREEN x=72 y=130 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=280
[sub] Square GREEN x=69 y=132 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=281
[sub] Square GREEN x=66 y=134 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=282
[sub] Square GREEN x=63 y=136 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=283
[sub] Square GREEN x=60 y=138 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=284
[sub] Square GREEN x=57 y=140 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=285
[sub] Square GREEN x=54 y=142 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=286
[sub] Square GREEN x=51 y=144 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=287
[sub] Square GREEN x=48 y=146 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=288
[sub] Square GREEN x=45 y=148 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=289
[sub] Square GREEN x=42 y=150 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=290
[sub] Square GREEN x=39 y=152 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=291
[sub] Square GREEN x=36 y=154 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=292
[sub] Square GREEN x=33 y=156 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=293
[sub] Square GREEN x=30 y=158 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=294
[sub] Square GREEN x=27 y=160 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=295
[sub] Square GREEN x=24 y=162 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=296
[sub] Square GREEN x=21 y=164 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=297
[sub] Square GREEN x=18 y=166 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=298
[sub] Square GREEN x=15 y=168 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=299
[sub] Square GREEN x=12 y=170 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=300
[sub] Square GREEN x=9 y=172 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=301
[sub] Square GREEN x=6 y=174 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=302
[sub] Square GREEN x=3 y=176 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=303
[sub] Square GREEN x=0 y=178 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=304
